"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","New York Rangers","12","631.85","6","6","590","652","47.50","427","442","49.14","309","316","49.44","25","20","55.56","20.09","19.99","50.12","249","245","50.40","143","142","50.18","22","16","57.89","15.38","88.73","110","98","52.88","77","75","50.66","14","9","60.87","18.18","88.00","139","147","48.60","66","67","49.62","8","7","53.33","12.12","89.55","270","312","46.39","154","159","49.20","3","4","42.86","1.95","97.48","8.09","93.67","1.018"
"2","Montreal Canadiens","6","320.9167","2","4","335","301","52.67","224","207","51.97","161","147","52.27","7","9","43.75","10.13","7.84","56.36","125","103","54.82","73","53","57.94","5","9","35.71","6.85","83.02","48","42","53.33","39","24","61.90","4","5","44.44","10.26","79.17","77","61","55.80","34","29","53.97","1","4","20.00","2.94","86.21","154","150","50.66","79","85","48.17","2","0","100.00","2.53","100.00","4.35","93.88","0.982"
"3","Boston Bruins","6","327.7167","2","4","288","292","49.66","202","216","48.33","136","149","47.72","9","10","47.37","9.24","9.95","48.15","122","108","53.04","59","67","46.83","8","7","53.33","13.56","89.55","43","45","48.86","31","35","46.97","5","5","50.00","16.13","85.71","79","63","55.63","28","32","46.67","3","2","60.00","10.71","93.75","145","160","47.54","72","74","49.32","1","3","25.00","1.39","95.95","6.62","93.29","0.999"
"4","Ottawa Senators","19","1009.95","11","8","889","915","49.28","638","666","48.93","459","486","48.57","35","36","49.30","29.73","33.99","46.66","349","413","45.80","211","246","46.17","29","28","50.88","13.74","88.62","142","163","46.56","111","132","45.68","20","20","50.00","18.02","84.85","207","250","45.30","100","114","46.73","9","8","52.94","9.00","92.98","447","428","51.09","220","227","49.22","6","8","42.86","2.73","96.48","7.63","92.59","1.002"
"5","Toronto Maple Leafs","6","334.5167","2","4","349","363","49.02","245","259","48.61","172","182","48.59","12","12","50.00","12.71","12.41","50.59","155","161","49.05","86","80","51.81","12","9","57.14","13.95","88.75","68","55","55.28","46","32","58.97","8","4","66.67","17.39","87.50","87","106","45.08","40","48","45.45","4","5","44.44","10.00","89.58","157","171","47.87","77","97","44.25","0","3","0.00","0.00","96.91","6.98","93.41","1.004"
"6","Washington Capitals","13","660.5333","7","6","745","589","55.85","516","423","54.95","358","293","54.99","25","23","52.08","25.9","21.15","55.05","349","263","57.03","170","145","53.97","22","21","51.16","12.94","85.52","112","113","49.78","63","76","45.32","8","12","40.00","12.70","84.21","237","150","61.24","107","69","60.80","14","9","60.87","13.08","86.96","339","262","56.41","178","133","57.23","3","2","60.00","1.69","98.50","6.98","92.15","0.991"
"7","Columbus Blue Jackets","5","261.0667","1","4","286","246","53.76","206","178","53.65","159","137","53.72","11","14","44.00","12.04","12.23","49.61","137","127","51.89","78","74","51.32","9","12","42.86","11.54","83.78","50","60","45.45","36","42","46.15","7","10","41.18","19.44","76.19","87","67","56.49","42","32","56.76","2","2","50.00","4.76","93.75","129","105","55.13","73","61","54.48","2","2","50.00","2.74","96.72","6.92","89.78","0.967"
"8","Pittsburgh Penguins","25","1245.5","16","9","1042","1217","46.13","759","863","46.79","570","634","47.34","50","44","53.19","42.67","45.58","48.35","477","561","45.95","299","320","48.30","40","41","49.38","13.38","87.19","205","196","51.12","163","143","53.27","28","29","49.12","17.18","79.72","272","365","42.70","136","177","43.45","12","12","50.00","8.82","93.22","470","548","46.17","253","284","47.11","10","3","76.92","3.95","98.94","8.77","93.06","1.018"
"9","Nashville Predators","22","1086.4833","14","8","1040","958","52.05","746","695","51.77","535","523","50.57","42","37","53.16","41.31","38.94","51.47","469","400","53.97","269","254","51.43","36","29","55.38","13.38","88.58","170","161","51.36","128","130","49.61","27","22","55.10","21.09","83.08","299","239","55.58","141","124","53.21","9","7","56.25","6.38","94.35","466","447","51.04","250","242","50.81","6","8","42.86","2.40","96.69","7.85","92.93","1.008"
"10","Chicago Blackhawks","4","220.1167","0","4","207","211","49.52","143","144","49.83","111","113","49.55","1","11","8.33","7.51","8.28","47.57","76","94","44.71","44","56","44.00","1","10","9.09","2.27","82.14","32","36","47.06","21","26","44.68","1","8","11.11","4.76","69.23","44","58","43.14","23","30","43.40","0","2","0.00","0.00","93.33","96","93","50.79","60","51","54.05","0","1","0.00","0.00","98.04","0.90","90.27","0.912"
"11","St Louis Blues","11","533.5333","6","5","431","533","44.71","319","377","45.83","231","262","46.86","17","14","54.84","15.94","18.41","46.41","182","234","43.75","114","125","47.70","16","9","64.00","14.04","92.80","60","70","46.15","51","51","50.00","11","5","68.75","21.57","90.20","122","164","42.66","63","74","45.99","5","4","55.56","7.94","94.59","205","248","45.25","108","129","45.57","1","5","16.67","0.93","96.12","7.36","94.66","1.020"
"12","Minnesota Wild","5","253.2833","1","4","283","182","60.86","203","134","60.24","147","97","60.25","4","7","36.36","9.11","6.14","59.75","107","67","61.49","63","45","58.33","2","7","22.22","3.17","84.44","38","27","58.46","28","23","54.90","1","4","20.00","3.57","82.61","69","40","63.30","35","22","61.40","1","3","25.00","2.86","86.36","150","98","60.48","79","50","61.24","2","0","100.00","2.53","100.00","2.72","92.78","0.955"
"13","Calgary Flames","4","189.8167","0","4","197","188","51.17","148","141","51.21","103","93","52.55","2","9","18.18","7.73","7.08","52.21","86","74","53.75","50","48","51.02","2","4","33.33","4.00","91.67","36","33","52.17","24","28","46.15","1","4","20.00","4.17","85.71","50","41","54.95","26","20","56.52","1","0","100.00","3.85","100.00","93","94","49.73","48","40","54.55","0","5","0.00","0.00","87.50","1.94","90.32","0.923"
"14","Anaheim Ducks","17","842.5667","10","7","877","824","51.56","664","610","52.12","469","420","52.76","37","29","56.06","36.3","34.79","51.07","378","374","50.27","225","206","52.20","26","24","52.00","11.56","88.35","163","166","49.54","123","114","51.90","17","17","50.00","13.82","85.09","215","208","50.83","102","92","52.58","9","7","56.25","8.82","92.39","419","385","52.11","221","200","52.49","11","5","68.75","4.98","97.50","7.89","93.10","1.010"
"15","San Jose Sharks","6","298.1833","2","4","278","302","47.93","190","197","49.10","130","135","49.06","8","7","53.33","10.2","10.99","48.13","123","124","49.80","65","66","49.62","7","5","58.33","10.77","92.42","47","48","49.47","33","31","51.56","5","4","55.56","15.15","87.10","76","76","50.00","32","35","47.76","2","1","66.67","6.25","97.14","128","148","46.38","58","63","47.93","1","2","33.33","1.72","96.83","6.15","94.81","1.010"
"16","Edmonton Oilers","13","651.9333","7","6","619","683","47.54","427","505","45.82","289","352","45.09","21","24","46.67","24.44","27.3","47.24","279","315","46.97","148","170","46.54","16","22","42.11","10.81","87.06","118","129","47.77","78","90","46.43","13","12","52.00","16.67","86.67","161","186","46.40","70","80","46.67","3","10","23.08","4.29","87.50","287","306","48.40","130","165","44.07","5","2","71.43","3.85","98.79","7.27","93.18","1.004"